k,mean,cluster_2_mean/mean
2,0.17268622724283159,1
3,0.1532116575643898,1.1271089288375935
4,0.1462789298216563,1.1805270072277063
5,0.14078211844242422,1.2266204625515365
6,0.11022738513732372,1.5666363402134167
7,0.10314849730697206,1.6741516527275604
8,0.09530377586628,1.8119557769161876
9,0.08851558298293849,1.9509132903312303
10,0.08036517395444834,2.148769407762517
11,0.07301992804129802,2.364919164877362
12,0.06614371263303849,2.6107731236812306
13,0.06044037829713216,2.8571334612415122
14,0.05547552383582882,3.1128363520075917
15,0.05122388864675236,3.3712049554398686
16,0.04713291752225171,3.66381366401317
17,0.043589240129079256,3.9616709704381643
18,0.04063527835762842,4.249662712361201
19,0.03805812168744768,4.537434313259524
20,0.03546791577484947,4.8688010972802775
21,0.03357566157450946,5.143196563963893
22,0.03152045059911891,5.4785456413386004
23,0.02991927776951075,5.7717378264661034
24,0.028354425241631984,6.090274296559586
25,0.026903307583275714,6.418773108410692
26,0.02558175263168965,6.750367331318605
27,0.02438998734494003,7.080209792673682
28,0.023150616684738563,7.459249556694118
29,0.022200957248287398,7.77832348900869
30,0.021305193741725015,8.105358220922225
